province,year,Total agricultural machinery power (10^4 kW) (China Rural Statistical Yearbook),Total agricultural output value (10^8 yuan) (China Rural Statistical Yearbook),Agricultural mechanization service organizations at year-end (units) (China Agricultural Machinery Industry Yearbook),Agricultural machinery households at year-end (units) (China Agricultural Machinery Industry Yearbook),Cultivated land area per agricultural laborer (10^3 ha/10^4 persons),Machine-ploughing rate (%),Machine-sowing rate (%),Machine-harvesting rate (%),Mechanized irrigation rate (%),Mechanized plant-protection rate (%),Agricultural machinery power per sown area (10^4 kW/10^3 ha),Agricultural output value per agricultural laborer (10^8 yuan/10^4 persons),Agricultural output value per unit cultivated area (10^8 yuan/10^3 ha),Operation income of agricultural machinery per 10^4 kW (10^8 yuan/10^4 kW),Agricultural carbon emissions,M_entropy,M_equal
Zhejiang,2022,0.2492286833383549,0.3112361789642527,0.1923546427538328,0.1618818017415032,0.5059465689295033,0.4824912837317042,0.3683315533900758,0.4477291884663988,0.6486678920256818,0.604759003583178,1.01,1.01,0.01,0.01,0.4729673819671541,0.4634406057117409,0.4323729452594426
Zhejiang,2021,0.2549571947930104,0.3240800081179225,0.1875022143489814,0.1675565845351591,0.5257607808220024,0.5065734341634924,0.341945881726803,0.4465899930352281,0.6750915977173158,0.4812353575102878,1.01,1.01,0.01,0.01,0.471933429723078,0.4573418805223894,0.4282150984328854
Zhejiang,2020,0.2654872039896079,0.3290253872642114,0.1809437086092715,0.1794827216697578,0.6042485407132924,0.4389761972053748,0.2941305746970347,0.4080882155734751,0.7136831662888888,0.4252034103068497,1.01,1.01,0.01,0.01,0.477946751992848,0.453488310606323,0.4238143918873741
Zhejiang,2019,0.2862304463945059,0.3510524169832678,0.1893394321016989,0.192743534787683,0.4740640976355114,0.4319048365430112,0.2715243766840041,0.3927629282058222,0.817195568343484,0.4272517219353505,1.01,1.01,0.01,0.01,0.475525706515098,0.4497687147112842,0.4233063377419624
Zhejiang,2018,0.3069549443393593,0.351667491258677,0.1960383740596022,0.205912333295065,0.3484827698301183,0.4664901383383901,0.2538802118831957,0.4117685733149682,0.5945197713975738,0.4365901378988743,1.01,1.01,0.01,0.01,0.455156656421969,0.4287135909920875,0.4044974268025195
Zhejiang,2017,0.3250490219831695,0.3594478746137942,0.1918390408994436,0.2142758027882431,0.2422337560335359,0.5165303292661654,0.2384559949217117,0.5113652601053769,0.6361492803980913,0.4631268887648102,1.01,0.8701340722152365,0.01,0.01,0.455847313409744,0.4221539431920942,0.4036303090266214
Zhejiang,2016,0.3086419972721342,0.3949303027628476,0.182640218878249,0.2193759172043836,0.1712962919356778,0.569881650435138,0.2114811099366661,0.5672514334957061,0.74438667317206,0.4650266637427864,1.01,0.8168016536207896,0.01,0.01,0.458431436085823,0.4229366183912322,0.4093430232361507
Zhejiang,2015,0.3569049829774063,0.3674899492876339,0.1935467814999161,0.2333236365863367,0.0962024657520278,0.6377469047548628,0.1928200262865024,0.6340580364989303,0.9973401595837936,0.4910900961256017,1.01,0.667488944098572,0.01,0.01,0.461737296660895,0.4307397659064678,0.4239832853408319
Zhejiang,2014,0.3784859154929577,0.3909538796050654,0.2643502824858757,0.2300222139948167,0.1280477549832735,0.507392674476679,0.1669898219445896,0.5563704940721804,1.01,0.4232507058793041,1.01,0.6452700997632523,0.0879873599147232,0.01,0.462934456930277,0.428560536436643,0.4181370439695329
Zhejiang,2013,0.3997396757976473,0.3987497913536972,0.2814149300679661,0.2386094797348606,0.0937145994547178,0.5299575702755989,0.1613516417818295,0.5748508683560363,1.006870205211647,0.4313913963772434,1.01,0.6448086633874383,1.01,0.1911918081561833,0.459601068789189,0.5132746000544578,0.4954834465829369
Anhui,2022,1.01,0.5282080252547208,0.6197194098929708,1.01,0.6633693538610194,0.7605139456360844,0.9601574808993888,1.01,0.7542079517248953,0.680067411110968,0.8488399809587083,0.1411090019013047,0.0204995882417443,0.2518657657343516,0.0135320336308201,0.5948807924181466,0.6181393299231317
Anhui,2021,1.01,0.5475561221058304,0.6088780631827576,1.01,0.7447991696284242,0.7664371727333674,0.9632466943192584,1.01,0.7318456319234513,0.6413763980303782,0.8041319547015356,0.140780577056675,0.0123614678416121,0.2700500436595691,0.0236463886742035,0.5944099251820708,0.6190073122571376
Anhui,2020,1.01,0.5331052245405299,0.5988126773888364,1.01,0.7734799066966954,0.7569651200291785,0.983774173852601,1.01,0.7713458086100938,0.6157762730265315,0.7527515462485846,0.1481052000207499,0.0357543156716204,0.2964799996098901,0.0291467431831334,0.596944312899997,0.621699799258563
Anhui,2019,1.01,0.5323571354564468,0.5853831531424498,1.01,0.1860413362111062,0.7688308223247653,1.01,1.01,0.8599033999468243,0.5991846309812777,0.6700935596167152,0.01,0.0570306283256344,0.2765462765916279,0.0222438443650426,0.5405236053441648,0.5738409857974595
